Query Title | Query Authors | Crossref Title | Type | Published | Journal | DOI | Authors | BibTeX Key
---|---|---|---|---|---|---|---|---
Uncertainty-aware optimization of zeolite particle size: Utilizing quantile regression and SHAP analysis | He S | Uncertainty-aware optimization of zeolite particle size: Utilizing quantile regression and SHAP analysis | JOURNAL ARTICLE | May 2025 | Chemical Engineering Journal | 10.1016/j.cej.2025.162085 | Song He; Wenli Du; Xin Peng | He_2025
Quantifying and explaining machine learning uncertainty in predictive process monitoring: an operations research perspective | Nijat Mehdiyev Maxim Majlatow Peter Fettke | Quantifying and explaining machine learning uncertainty in predictive process monitoring: an operations research perspective | JOURNAL ARTICLE | April 2025 | Annals of Operations Research | 10.1007/s10479-024-05943-4 | Nijat Mehdiyev; Maxim Majlatow; Peter Fettke | Mehdiyev_2024
Interpretable building energy performance prediction using XGBoost Quantile Regression | Sinem Guler Kangalli Uyar Bilge Kagan Ozbay Berker Dal | Interpretable building energy performance prediction using XGBoost Quantile Regression | JOURNAL ARTICLE | August 2025 | Energy and Buildings | 10.1016/j.enbuild.2025.115815 | Sinem Guler Kangalli Uyar; Bilge Kagan Ozbay; Berker Dal | Kangalli_Uyar_2025
An interpretable probabilistic model for short-term solar power forecasting using natural gradient boosting | Georgios Mitrentsis Hendrik Lens | An interpretable probabilistic model for short-term solar power forecasting using natural gradient boosting | JOURNAL ARTICLE | March 2022 | Applied Energy | 10.1016/j.apenergy.2021.118473 | Georgios Mitrentsis; Hendrik Lens | Mitrentsis_2022
Explaining Set-Valued Predictions: SHAP Analysis for Conformal Classification | Ulf Johansson Aicha Maalej Cecilia Sönströd | Improving Machine Learning Classification Predictions through SHAP and Features Analysis Interpretation | COMPONENT |  |  | 10.1021/acs.jcim.5c02015.s001 |  | 
Explaining Predictive Uncertainty with Information Theoretic Shapley Values | David S. Watson Joshua O’Hara Niek Tax Richard Mudd Ido Guy | Explaining Predictive Uncertainty with Information Theoretic Shapley Values | PROCEEDINGS ARTICLE | 2023 | Advances in Neural Information Processing Systems 36 | 10.52202/075280-0320 | Ido Guy; Richard Mudd; Joshua O'Hara; Niek Tax; David Watson | Guy_2023
Forecasting Value-at-Risk Using Deep Neural Network Quantile Regression | Ilias Chronopoulos Aristeidis Raftapostolos and George Kapetanios | Forecasting Value-at-Risk Using Deep Neural Network Quantile Regression | JOURNAL ARTICLE | 17 June 2024 | Journal of Financial Econometrics | 10.1093/jjfinec/nbad014 | Ilias Chronopoulos; Aristeidis Raftapostolos; George Kapetanios | 
UbiQTree: Uncertainty quantification in XAI with tree ensembles | Akshat Dubey Aleksandar Anžel Bahar Ilgen Georges Hattab | UbiQTree: Uncertainty quantification in XAI with tree ensembles | JOURNAL ARTICLE | February 2026 | Patterns | 10.1016/j.patter.2025.101454 | Akshat Dubey; Aleksandar Anžel; Bahar İlgen; Georges Hattab | Dubey_2026
Bayesian deep learning for probabilistic aquifer vulnerability and uncertainty prediction | Tarekegn Dejen Mengistu Min-Gyu Kim Il-Moon Chung and Sun Woo Chang | Bayesian deep learning for probabilistic aquifer vulnerability and uncertainty prediction | JOURNAL ARTICLE | 8 January 2026 | Scientific Reports | 10.1038/s41598-025-32612-8 | Tarekegn Dejen Mengistu; Min-Gyu Kim; Il-Moon Chung; Sun Woo Chang | Mengistu_2026
Enhancing energy prediction in variable refrigerant flow cooling systems: A hybrid grey-box model integrating thermodynamic knowledge, experimental data and machine learning | Muhammad Reshaeel Mohamed I. Hassan Ali | Enhancing energy prediction in variable refrigerant flow cooling systems: A hybrid grey-box model integrating thermodynamic knowledge, experimental data and machine learning | JOURNAL ARTICLE | February 2026 | Energy | 10.1016/j.energy.2025.139895 | Muhammad Reshaeel; Mohamed I. Hassan Ali | Reshaeel_2026
Uncertainty-aware Bayesian neural network with SHAP interpretability for data-driven assembly quality prediction in complex manufacturing systems | Jie Wu Yan-Ning Sun Yi-Tian Song Li-Lan Liu Zeng-Gui Gao and Wei Qin | Uncertainty-Aware Bayesian Neural Network with Shap Interpretability for Data-Driven Assembly Quality Prediction in Complex Manufacturing Systems | POSTED CONTENT |  |  | 10.2139/ssrn.5218723 | Jie Wu; Yan-Ning Sun; Yi-Tian Song; Lilan Liu; Zenggui Gao; Wei Qin | Wu_2025
Uncertainty-Aware and Explainable Human Error Detection in the Operation of Nuclear Power Plants | Bhavya Reddy Ezgi Gursel Katy Daniels Anahita Khojandi Jamie Baalis Coble Vivek Agarwal Ronald Boring Vaibhav Yadav and Mahboubeh Madadi | Uncertainty-Aware and Explainable Human Error Detection in the Operation of Nuclear Power Plants | JOURNAL ARTICLE | December 2024 | Nuclear Technology | 10.1080/00295450.2024.2372217 | Bhavya Reddy; Ezgi Gursel; Katy Daniels; Anahita Khojandi; Jamie Baalis Coble; Vivek Agarwal; Ronald Boring; Vaibhav Yadav; Mahboubeh Madadi | Reddy_2024
A Unified Framework for Interpretable and Uncertainty-Aware Battery State of Health Estimation Using Deep Neural Networks | Elias Isaac Huai-En Lim and Nicholas Heng Loong Wong | A Unified Framework for Interpretable and Uncertainty-Aware Battery State of Health Estimation Using Deep Neural Networks | PROCEEDINGS ARTICLE | 22 October 2025 | 2025 Asia Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC) | 10.1109/apsipaasc65261.2025.11249263 | Elias Isaac Huai-En Lim; Nicholas Heng Loong Wong | Lim_2025
Explainable deeply-fused nets electricity demand prediction model: Factoring climate predictors for accuracy and deeper insights with probabilistic confidence interval and point-based forecasts | Sujan Ghimire Mohanad S. AL-Musaylh Thong Nguyen-Huy Ravinesh C. Deo Rajendra Acharya David Casillas-Pérez Zaher Mundher Yaseen and Sancho Salcedo-Sanz | Explainable deeply-fused nets electricity demand prediction model: Factoring climate predictors for accuracy and deeper insights with probabilistic confidence interval and point-based forecasts | JOURNAL ARTICLE | January 2025 | Applied Energy | 10.1016/j.apenergy.2024.124763 | Sujan Ghimire; Mohanad S. AL-Musaylh; Thong Nguyen-Huy; Ravinesh C. Deo; Rajendra Acharya; David Casillas-Pérez; Zaher Mundher Yaseen; Sancho Salcedo-Sanz | Ghimire_2025
Day-Ahead Electricity Price Probabilistic Forecasting Based on SHAP Feature Selection and LSTNet Quantile Regression | Huixin Liu Xiaodong Shen Xisheng Tang Junyong Liu | Day-Ahead Electricity Price Probabilistic Forecasting Based on SHAP Feature Selection and LSTNet Quantile Regression | JOURNAL ARTICLE | 4 July 2023 | Energies | 10.3390/en16135152 | Huixin Liu; Xiaodong Shen; Xisheng Tang; Junyong Liu | Liu_2023
Multiscale Wind Forecasting Using Explainable-Adaptive Hybrid Deep Learning | Fatih Serttas | Multiscale Wind Forecasting Using Explainable-Adaptive Hybrid Deep Learning | JOURNAL ARTICLE | 19 January 2026 | Applied Sciences | 10.3390/app16021020 | Fatih Serttas | Serttas_2026
Interpretable Interval Prediction-Based Outlier-Adaptive Day-Ahead Electricity Price Forecasting Involving Cross-Market Features | Xiaodong Shen Huixin Liu Gao Qiu Youbo Liu Junyong Liu and Shixiong Fan | Interpretable Interval Prediction-Based Outlier-Adaptive Day-Ahead Electricity Price Forecasting Involving Cross-Market Features | JOURNAL ARTICLE | May 2024 | IEEE Transactions on Industrial Informatics | 10.1109/tii.2024.3355105 | Xiaodong Shen; Huixin Liu; Gao Qiu; Youbo Liu; Junyong Liu; Shixiong Fan | Shen_2024
An Interpretable Hybrid System Using Temporal Convolutional Network and Informer Model for Carbon Price Prediction | Pei Du Xuankai Zhang Tingting Chen and Wendong Yang | An Interpretable Hybrid System Using Temporal Convolutional Network and Informer Model for Carbon Price Prediction | JOURNAL ARTICLE | 12 November 2025 | Systems | 10.3390/systems13111011 | Pei Du; Xuankai Zhang; Tingting Chen; Wendong Yang | Du_2025
High-resolution probabilistic load forecasting: A learning ensemble approach | Chenbei Lu Jinhao Liang Wenqian Jiang Jiaye Teng Chenye Wu | High-resolution probabilistic load forecasting: A learning ensemble approach | JOURNAL ARTICLE | April 2023 | Journal of the Franklin Institute | 10.1016/j.jfranklin.2023.02.010 | Chenbei Lu; Jinhao Liang; Wenqian Jiang; Jiaye Teng; Chenye Wu | Lu_2023
Data-driven cooperative trading framework for a risk-constrained wind integrated power system considering market uncertainties | Rongquan Zhang Gangqiang Li Siqi Bu Saddam Aziz Rizwan Qureshi | Data-driven cooperative trading framework for a risk-constrained wind integrated power system considering market uncertainties | JOURNAL ARTICLE | January 2023 | International Journal of Electrical Power &amp; Energy Systems | 10.1016/j.ijepes.2022.108566 | Rongquan Zhang; Gangqiang Li; Siqi Bu; Saddam Aziz; Rizwan Qureshi | Zhang_2023
Hybrid model for robust and accurate forecasting building electricity demand combining physical and data-driven methods | Xianzhou Dong Weiyong Guo Cheng Zhou Yongqiang Luo Zhiyong Tian Limao Zhang Xiaoying Wu Baobing Liu | Hybrid model for robust and accurate forecasting building electricity demand combining physical and data-driven methods | JOURNAL ARTICLE | December 2024 | Energy | 10.1016/j.energy.2024.133309 | Xianzhou Dong; Weiyong Guo; Cheng Zhou; Yongqiang Luo; Zhiyong Tian; Limao Zhang; Xiaoying Wu; Baobing Liu | Dong_2024
